odos_uid,source_id,cohort,round,scholarship_type,cohort_round,sex,birth_year_be,high_school_track,region,province_code,province,district,economic_corridor,initial_status,initial_country,initial_field_group,initial_field,study_start_date,study_end_dropout_date,graduation_expected_date,restart_thailand_date,project_condition_status,overall_status,after_m6_status,current_status,current_continent,current_country,current_field_group,current_field,program_funding_years,funding_period_academic_year,contract_status,latest_degree,gpa_numeric,study_duration_years,ocs_report_date,moe_report_date,masters_country,masters_field_group,masters_field,doctoral_country,doctoral_field_group,doctoral_field,employment_type,employment_detail,employment_evidence_status,workplace_province_country,work_start_date,income_monthly_est,welfare,domicile_employment_relation,field_job_fit,field_job_fit_level,local_fit,local_fit_level,job_satisfaction,job_satisfaction_level,wants_government,wants_government_flag,desired_government_position,wants_moe,desired_agency_other,target_graduation_success,target_scholarship_risk,target_tracking_risk,target_employment_ready,target_field_mismatch,target_local_mismatch,split
ODOS00379,379,1,,,1 /,ชาย,2528,สามัญ,กลาง,64,สุโขทัย,ทุ่งเสลี่ยง,,ลาออก,สาธารณรัฐฝรั่งเศส,กลุ่มพาณิชยกรรม,Internatinal Business,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มศิลปศาสตร์,Social Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00380,380,1,,,1 /,ชาย,2529,สามัญ,กลาง,18,ชัยนาท,มโนรมย์,,ลาออก,สาธารณรัฐฝรั่งเศส,กลุ่มพาณิชยกรรม,Accounting,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มศิลปศาสตร์,Social Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00381,381,1,,,1 /,ชาย,2528,สามัญ,กลาง,64,สุโขทัย,เมืองสุโขทัย,,ลาออก,ราชอาณาจักรสเปน,กลุ่มศิลปศาสตร์,International Relations,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,ราชอาณาจักรสเปน,กลุ่มศิลปศาสตร์,Social Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00382,382,1,,,1 /,ชาย,2528,สามัญ,เหนือ,52,ลำปาง,เกาะคา,,ปรับเปลี่ยนมาศึกษาในประเทศ,สหพันธ์สาธารณรัฐเยอรมนี,กลุ่มบริหารจัดการ,Political Science,2005-09-01,,,,พ้นสภาพ,พ้นสภาพ,พ้นสภาพ,พ้นสภาพการเป็น นรท.,เอเชีย,ประเทศไทย,กลุ่มบริหารจัดการ,บริหารธุรกิจ (Business Administration),,,ทำสัญญา สกอ.,,,,,,,,,,,,พ้นสภาพการเป็นนักเรียนทุน,พ้นสภาพการเป็นนักเรียนทุน,,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00383,383,1,,,1 /,ชาย,2528,สามัญ,ตะวันออก,20,ชลบุรี,หนองใหญ่,,ลาออก,สาธารณรัฐอิตาลี,กลุ่มวิชาชีพเฉพาะทาง,Architecture,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,สาธารณรัฐอิตาลี,กลุ่มวิชาชีพเฉพาะทาง,Architecture,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,validation
ODOS00384,384,1,,,1 /,ชาย,2528,สามัญ,กลาง,64,สุโขทัย,คีรีมาศ,,ปรับเปลี่ยนมาศึกษาในประเทศ,สาธารณรัฐฝรั่งเศส,กลุ่มวิทยาศาสตร์,เคมี,2005-09-01,,,,พ้นสภาพ,พ้นสภาพ,พ้นสภาพ,พ้นสภาพการเป็น นรท.,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มวิทยาศาสตร์,วิทยาศาสตร์และเทคโนโลยี,,,ทำสัญญาแล้ว,,,,,,,,,,,,พ้นสภาพการเป็นนักเรียนทุน,พ้นสภาพการเป็นนักเรียนทุน,,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00385,385,1,,,1 /,หญิง,2528,สามัญ,กลาง,15,อ่างทอง,เมืองอ่างทอง,,ศึกษาด้วยทุนส่วนตัว,สาธารณรัฐฝรั่งเศส,กลุ่มบริหารจัดการ,International Relations,2005-09-01,,,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,หมดระยะเวลารับทุนศึกษาด้วยทุนส่วนตัว,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มบริหารจัดการ,International Relations,,,ทำสัญญาแล้ว,,,,,,,,,,,,อยู่ระหว่างติดตามข้อมูล,อยู่ระหว่างการสมัครงาน/เปลี่ยนงาน,,,,,,N/A,N/A,,N/A,,,,,,,,,1,0,1,0,0,0,development
ODOS00386,386,1,,,1 /,หญิง,2528,สามัญ,ตะวันออกเฉียงเหนือ,31,บุรีรัมย์,คูเมือง,,ศึกษาด้วยทุนส่วนตัว,สาธารณรัฐฝรั่งเศส,กลุ่มบริหารจัดการ,Political Science,2005-09-01,,,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,หมดระยะเวลารับทุนศึกษาด้วยทุนส่วนตัว,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มบริหารจัดการ,Social Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,อยู่ระหว่างติดตามข้อมูล,อยู่ระหว่างการสมัครงาน/เปลี่ยนงาน,,,,,,N/A,N/A,,N/A,,,,,,,,,1,0,1,0,0,0,development
ODOS00387,387,1,,,1 /,หญิง,2528,สามัญ,ตะวันออก,27,สระแก้ว,วังสมบูรณ์,,ศึกษาด้วยทุนส่วนตัว,ราชอาณาจักรเนเธอร์แลนด์,กลุ่มศิลปศาสตร์,Political Science,2005-09-01,,,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,หมดระยะเวลารับทุนศึกษาด้วยทุนส่วนตัว,ยุโรป,ราชอาณาจักรเนเธอร์แลนด์,กลุ่มบริหารจัดการ,Social Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,อยู่ระหว่างติดตามข้อมูล,อยู่ระหว่างการสมัครงาน/เปลี่ยนงาน,,,,,,N/A,N/A,,N/A,,,,,,,,,1,0,1,0,0,0,development
ODOS00388,388,1,,,1 /,หญิง,2528,สามัญ,เหนือ,55,น่าน,เวียงสา,,ปรับเปลี่ยนมาศึกษาในประเทศ,สหพันธ์สาธารณรัฐเยอรมนี,กลุ่มพาณิชยกรรม,การท่องเที่ยวและการโรงแรม,2005-09-01,,,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,หมดระยะเวลารับทุนศึกษาด้วยทุนส่วนตัว,ยุโรป,สหพันธ์สาธารณรัฐเยอรมนี,กลุ่มพาณิชยกรรม,การท่องเที่ยวและการโรงแรม,,,ทำสัญญาแล้ว,,,,,,,,,,,,อยู่ระหว่างติดตามข้อมูล,อยู่ระหว่างการสมัครงาน/เปลี่ยนงาน,,,,,,N/A,N/A,,N/A,,,,,,,,,1,0,1,0,0,0,development
ODOS00389,389,1,,,1 /,หญิง,2528,สามัญ,ตะวันออกเฉียงเหนือ,46,กาฬสินธุ์,กมลาไสย,,สำเร็จการศึกษาปริญญาตรี,สาธารณรัฐอิตาลี,กลุ่มพาณิชยกรรม,การท่องเที่ยว,2005-01-01,,2013-02-22,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,สำเร็จการศึกษาปริญญาตรี,ยุโรป,สาธารณรัฐอิตาลี,กลุ่มพาณิชยกรรม,การท่องเที่ยว,,,,ปริญญาตรี,,8.14,นร.1018.4/64 ลว 2017/02/20,,,,,,,,ภาคเอกชน,พนักงานบริษัทเอกชนในประเทศไทย,,,,,,N/A,N/A,,N/A,,N/A,,ไม่ต้องการ,0,,,,1,0,0,1,0,0,development
ODOS00390,390,1,,,1 /,หญิง,2528,สามัญ,ตะวันออกเฉียงเหนือ,41,อุดรธานี,หนองวัวซอ,NeEC,ศึกษาด้วยทุนส่วนตัว,ราชอาณาจักรเนเธอร์แลนด์,กลุ่มบริหารจัดการ,International Relations,2005-09-01,,,,สำเร็จการศึกษา,สำเร็จการศึกษาในต่างประเทศ,สำเร็จการศึกษาต่างประเทศ,หมดระยะเวลารับทุนศึกษาด้วยทุนส่วนตัว,ยุโรป,ราชอาณาจักรเนเธอร์แลนด์,กลุ่มบริหารจัดการ,International Relations,,,ทำสัญญาแล้ว,,,,,,,,,,,,อยู่ระหว่างติดตามข้อมูล,อยู่ระหว่างการสมัครงาน/เปลี่ยนงาน,,,,,,N/A,N/A,,N/A,,,,,,,,,1,0,1,0,0,0,development
